vehicle_id,Bike Producer,Series,Size,Configuration,Bike Model,Sales Name,Year,Cylinder,Type of Drive,Engine Output,Country,Category 1,Category 2
1121,HONDA,SRX,90,,SRX 90,Shadow,2000,1,2-STROKE,"5,7 KW(7,8 PS)",EUROPE,SCOOTER,SCOOTER
1122,HONDA,VT,750,DC,VT 750 DC,Black Widow,2000,2,4-STROKE,25 KW(34 PS); 33 KW(45 PS),EUROPE,MOTORBIKE,CRUISER
1123,HONDA,CBR,600,F4I,CBR 600 F4I,,2001,4,4-STROKE,,AMERICA,MOTORBIKE,SPORTBIKE
1124,HONDA,XL,650,V,XL 650 V,Transalp,2001,2,4-STROKE,25 KW(34 PS); 39 KW(53 PS),EUROPE,MOTORBIKE,DUAL PURPOSE
1125,HONDA,NSR,50,R MINI,NSR 50 R MINI,Pocketbike,2001,1,2-STROKE,"1,1 KW(1,5 PS)",ALL,MOTORBIKE,MINIBIKE
1126,HONDA,VT,750,CD,VT 750 CD,Shadow Ace Deluxe,2002,2,4-STROKE,,AMERICA,MOTORBIKE,CRUISER
1127,HONDA,NES,150,,NES 150,@,2002,1,4-STROKE,,EUROPE,SCOOTER,SCOOTER
1128,HONDA,RVT,1000,R,RVT 1000 R,,2002,2,4-STROKE,,AMERICA,MOTORBIKE,SPORTBIKE
1129,HONDA,CB,1100,SF,CB 1100 SF,X-11,2003,4,4-STROKE,100 KW(136 PS),EUROPE,MOTORBIKE,NAKEDBIKE
1130,HONDA,CH,80,,CH 80,Elite,2003,1,4-STROKE,,AMERICA,SCOOTER,SCOOTER
1131,HONDA,CBR,125,R,CBR 125 R,,2004,1,4-STROKE,"9,7 KW(13,2 PS)",EUROPE,MOTORBIKE,SPORTBIKE
1132,HONDA,CRF,230,F,CRF 230 F,,2004,1,4-STROKE,,AMERICA,MOTORBIKE,OFFROAD
1133,HONDA,CB,250,,CB 250,Nighthawk,2004,2,4-STROKE,,AMERICA,MOTORBIKE,NAKEDBIKE
1134,HONDA,CBR,600,F4I,CBR 600 F4I,,2004,4,4-STROKE,,AMERICA,MOTORBIKE,SPORTBIKE
1135,HONDA,XL,650,V,XL 650 V,Transalp,2005,2,4-STROKE,25 KW(34 PS); 39 KW(53 PS),EUROPE,MOTORBIKE,DUAL PURPOSE
1136,HONDA,CBR,1100,XX,CBR 1100 XX,Blackbird,2005,4,4-STROKE,72 KW(98 PS); 110 KW(150 PS),ALL,MOTORBIKE,SPORTTOURER
1137,HONDA,ST,1300,A,ST 1300 ABS,Pan European,2005,4,4-STROKE,93 KW(126 PS),ALL,MOTORBIKE,TOURER
1138,HONDA,CR,250,R,CR 250 R,,2006,1,2-STROKE,,EUROPE,MOTORBIKE,OFFROAD
1139,HONDA,MONTESA COTA,250,4RT,MONTESA COTA 250 4RT,,2006,1,4-STROKE,,ALL,MOTORBIKE,TRIAL
1140,HONDA,CB,250,,CB 250,Nighthawk,2007,2,4-STROKE,,AMERICA,MOTORBIKE,NAKEDBIKE
1141,HONDA,CN,250,,CN 250,Helix,2007,1,4-STROKE,,AMERICA,SCOOTER,SCOOTER
1142,HONDA,CB,600,FA,CB 600 F ABS,Hornet,2007,4,4-STROKE,25 KW(34 PS); 75 KW(102 PS),EUROPE,MOTORBIKE,NAKEDBIKE
1143,HONDA,CBR,600,F4I,CBR 600 F4I,,2007,4,4-STROKE,,AMERICA,MOTORBIKE,SPORTBIKE
1144,HONDA,CBR,600,RR,CBR 600 RR,,2007,4,4-STROKE,88 KW(120 PS),EUROPE,MOTORBIKE,SPORTBIKE
1145,HONDA,VT,1100,C2,VT 1100 C2,Shadow Sabre,2007,2,4-STROKE,,AMERICA,MOTORBIKE,CRUISER
1146,HONDA,GL,1800,ADA,GL 1800 AD ABS,Goldwing Airbag,2007,6,4-STROKE,,AMERICA,MOTORBIKE,TOURER
1147,HONDA,PS,250,,PS 250,Big Ruckus,2007,1,4-STROKE,,AMERICA,SCOOTER,SCOOTER
1148,HONDA,FJS,400,,FJS 400,Silver Wing,2007,2,4-STROKE,28 KW(38 PS),EUROPE,SCOOTER,SCOOTER
1149,HONDA,CBR,600,RR,CBR 600 RR,,2008,4,4-STROKE,88 KW(120 PS),EUROPE,MOTORBIKE,SPORTBIKE
1150,HONDA,GL,1800,ADA,GL 1800 AD ABS,Goldwing Airbag,2008,6,4-STROKE,,AMERICA,MOTORBIKE,TOURER
1151,HONDA,TRX,420,FM 4X4,TRX 420 FM 4X4,Fourtrax Rancher,2009,1,4-STROKE,,ALL,ATV,ATV
1152,HONDA,TRX,450,ER,TRX 450 ER,Sportrax E-Start,2009,1,4-STROKE,,ALL,ATV,QUAD
1153,HONDA,TRX,450,R,TRX 450 R,Sportrax K-Start,2009,1,4-STROKE,,ALL,ATV,QUAD
1154,HONDA,TRX,500,FM 4X4,TRX 500 FM 4X4,Fourtrax Foreman,2009,1,4-STROKE,,ALL,ATV,ATV
1155,HONDA,TRX,500,FPE 4X4,TRX 500 FPE 4X4,Fourtrax Foreman ES,2009,1,4-STROKE,,ALL,ATV,ATV
1156,HONDA,CB,1300,A,CB 1300 ABS,,2009,4,4-STROKE,85 KW(116 PS),EUROPE,MOTORBIKE,NAKEDBIKE
1157,HONDA,GL,1800,HPN,GL 1800 HPN,Goldwing Audio/Comfort/Navi,2009,6,4-STROKE,,AMERICA,MOTORBIKE,TOURER
1158,HONDA,XL,700,VA,XL 700 V ABS,Transalp,2010,2,4-STROKE,44 KW(60 PS),EUROPE,MOTORBIKE,DUAL PURPOSE
1159,HONDA,CBR,600,RRA,CBR 600 RR ABS,,2010,4,4-STROKE,88 KW(120 PS),AMERICA,MOTORBIKE,SPORTBIKE
1160,HONDA,CRF,150,RB,CRF 150 RB,,2011,1,4-STROKE,,ALL,MOTORBIKE,OFFROAD
1161,HONDA,CBR,600,RRA,CBR 600 RR ABS,,2012,4,4-STROKE,88 KW(120 PS),EUROPE,MOTORBIKE,SPORTBIKE
1162,HONDA,CBR,250,R,CBR 250 R,,2012,1,4-STROKE,19 KW(26 PS),ALL,MOTORBIKE,SPORTBIKE
1163,HONDA,CRF,150,F,CRF 150 F,,2013,1,4-STROKE,,AMERICA,MOTORBIKE,OFFROAD
1164,HONDA,TRX,250,X,TRX 250 X,Sportrax,2013,1,4-STROKE,,ALL,ATV,QUAD
1165,HONDA,CRF,450,X,CRF 450 X,Enduro,2013,1,4-STROKE,41 KW(56 PS),ALL,MOTORBIKE,ENDURO
1166,HONDA,NSC ,50,R,NSC 50 R,,2013,1,4-STROKE,"2,5 KW(3,4 PS)",EUROPE,SCOOTER,SCOOTER
1167,HONDA,GL,1800,A,GL 1800 ABS,Goldwing,2013,6,4-STROKE,87 KW(118 PS),EUROPE,MOTORBIKE,TOURER
1168,HONDA,CB,1300,SA,CB 1300 S ABS,,2013,4,4-STROKE,85 KW(116 PS),EUROPE,MOTORBIKE,NAKEDBIKE
1169,HONDA,CBR,500,RA,CBR 500 R ABS,,2013,2,4-STROKE,35 KW(48 PS),ALL,MOTORBIKE,SPORTBIKE
1170,HONDA,XL,700,V,XL 700 V,Transalp,2013,2,4-STROKE,44 KW(60 PS),EUROPE,MOTORBIKE,DUAL PURPOSE
1171,HONDA,NSC,50,R,NSC 50 R,Vision Repsol,2013,1,4-STROKE,"2,5 KW(3,4 PS)",EUROPE,SCOOTER,SCOOTER
1172,HONDA,CRF,250,L,CRF 250 L,,2014,1,4-STROKE,17 KW(23 PS),ALL,MOTORBIKE,ENDURO
1173,HONDA,GL,1800,,GL 1800 ,Valkyrie,2014,6,4-STROKE,,AMERICA,MOTORBIKE,CRUISER
1174,HONDA,VT,1300,CTA,VT 1300 CT ABS,Interstate,2014,2,4-STROKE,,AMERICA,MOTORBIKE,CRUISER
1175,HONDA,VT,750,C,VT 750 C,Shadow Aero,2014,2,4-STROKE,,AMERICA,MOTORBIKE,CRUISER
1176,HONDA,SXS,700,M4 4X4,SXS 700 M4 4X4,Pioneer-4,2015,1,4-STROKE,,AMERICA,ATV,SIDE BY SIDE
1177,HONDA,TRX,420,FA5,TRX 420 FA5,Fourtrax Rancher AT DCT IRS,2016,1,4-STROKE,,ALL,ATV,ATV
1178,HONDA,SXS,1000,M5,SXS 1000 M5 4X4,Pioneer-5,2016,2,4-STROKE,,AMERICA,ATV,SIDE BY SIDE
1179,HONDA,GL,1800,CA,GL 1800 C ABS,Gold Wing F6C,2016,6,4-STROKE,86 KW(117 PS),EUROPE,MOTORBIKE,CRUISER
1180,HONDA,CBR,500,RA,CBR 500 R ABS,,2016,2,4-STROKE,35 KW(48 PS),ALL,MOTORBIKE,SPORTBIKE
1181,HONDA,TRX,500,FA6,TRX 500 FA6,Fourtrax Foreman Rubicon DCT EPS,2017,1,4-STROKE,,ALL,ATV,ATV
1182,HONDA,VFR,1200,XD,VFR 1200 XD,Crosstourer DCT,2017,4,4-STROKE,95 KW(129 PS),EUROPE,MOTORBIKE,DUAL PURPOSE
1183,HONDA,VISION,110,,VISION 110,,2017,1,4-STROKE,"6,2 KW(8,4 PS)",EUROPE,SCOOTER,SCOOTER
1184,HONDA,CRF,450,RX,CRF 450 RX,Supermoto,2018,1,4-STROKE,,ALL,MOTORBIKE,SUPERMOTO
1185,HONDA,GL,1800,A,GL 1800 ABS,Goldwing Tour,2018,6,4-STROKE,93 KW(126 PS),EUROPE,MOTORBIKE,TOURER
1186,HONDA,SXS,500,M2 4X4,SXS 500 M2 4X4,Pioneer,2018,1,4-STROKE,,AMERICA,ATV,SIDE BY SIDE
1187,HONDA,CB,500,F,CB 500 F,,2018,2,4-STROKE,35 KW(48 PS),AMERICA,MOTORBIKE,NAKEDBIKE
1188,HONDA,NCH,50,,NCH 50,Metropolitan,2018,1,4-STROKE,,AMERICA,SCOOTER,SCOOTER
1189,HONDA,SXS,700,M2D 4X4,SXS 700 M2D 4X4,Pioneer Deluxe,2019,1,4-STROKE,,AMERICA,ATV,SIDE BY SIDE
1190,HONDA,GROM,125,A,GROM 125 ABS,Mini Street X-Treme,2019,1,4-STROKE,"7,4 KW(10 PS)",AMERICA,MOTORBIKE,NAKEDBIKE
1191,HONDA,CBF,125,NA,CBF 125 NA,,2019,1,4-STROKE,10 KW(14 PS),EUROPE,MOTORBIKE,NAKEDBIKE
1192,HONDA,CRF,125,FB,CRF 125 FB,Big Wheel,2020,1,4-STROKE,,AMERICA,MOTORBIKE,OFFROAD
1193,HOREX,VR6,1218,,VR6,Roadster,2013,6,4-STROKE,118 KW(160 PS),EUROPE,MOTORBIKE,NAKEDBIKE
1194,HUPPER,MONTCLAIR,125,,MONTCLAIR 125,,2009,1,4-STROKE,"7 KW(9,5 PS)",EUROPE,SCOOTER,SCOOTER
1195,HUPPER,SLALOM,50,,SLALOM 50,,2010,1,4-STROKE,"1,8 KW(2,4 PS)",EUROPE,SCOOTER,SCOOTER
1196,HUPPER,TOMCAT,50,,TOMCAT 50,,2011,1,4-STROKE,"2 KW(2,7 PS)",EUROPE,SCOOTER,SCOOTER
1197,HUPPER,CHALLENGE,150,,CHALLENGE 150,,2014,1,4-STROKE,"7 KW(9,5 PS)",EUROPE,SCOOTER,SCOOTER
1198,HUPPER,SULTANO,150,,SULTANO 150,,2015,1,4-STROKE,8 KW(11 PS),EUROPE,SCOOTER,SCOOTER
1199,HUSABERG,FE,600,,FE 600,,1997,1,4-STROKE,43 KW(58 PS),EUROPE,MOTORBIKE,ENDURO
1200,HUSABERG,FC,400,,FC 400,,1999,1,4-STROKE,,ALL,MOTORBIKE,OFFROAD
1201,HUSABERG,FE,400,E,FE 400 E,,2000,1,4-STROKE,32 KW(44 PS),EUROPE,MOTORBIKE,ENDURO
1202,HUSABERG,FE,450,E,FE 450 E,,2004,1,4-STROKE,,ALL,MOTORBIKE,ENDURO
1203,HUSABERG,FS,450,E,FS 450 E,,2004,1,4-STROKE,,EUROPE,MOTORBIKE,SUPERMOTO
1204,HUSABERG,FE,450,E,FE 450 E,,2008,1,4-STROKE,,ALL,MOTORBIKE,ENDURO
1205,HUSABERG,FE,390,,FE 390,,2012,1,4-STROKE,,ALL,MOTORBIKE,ENDURO
1206,HUSQVARNA,XC,500,,XC 500,,1983,1,2-STROKE,,EUROPE,MOTORBIKE,OFFROAD
1207,HUSQVARNA,WR,400,,WR 400,,1988,1,2-STROKE,,EUROPE,MOTORBIKE,ENDURO
1208,HUSQVARNA,WXE,510,,WXE 510,,1990,1,4-STROKE,,AMERICA,MOTORBIKE,ENDURO
1209,HUSQVARNA,WR,250,,WR 250,,1992,1,2-STROKE,13 KW(17 PS); 35 KW(48 PS),ALL,MOTORBIKE,ENDURO
1210,HUSQVARNA,WRE,125,,WRE 125,,1996,1,2-STROKE,"7,4 KW(10 PS); 22 KW(30 PS)",EUROPE,MOTORBIKE,ENDURO
1211,HUSQVARNA,TE,410,,TE 410,,1996,1,4-STROKE,20 KW(27 PS); 34 KW(46 PS),ALL,MOTORBIKE,ENDURO
1212,HUSQVARNA,SM,610,E,SM 610 E,,1999,1,4-STROKE,25 KW(34 PS); 35 KW(48 PS),EUROPE,MOTORBIKE,SUPERMOTO
1213,HUSQVARNA,WRE,125,,WRE 125,,2003,1,2-STROKE,"8,1 KW(11 PS); 11 KW(15 PS)",EUROPE,MOTORBIKE,ENDURO
1214,HUSQVARNA,CR,250,,CR 250,,2003,1,2-STROKE,39 KW(53 PS),ALL,MOTORBIKE,OFFROAD
1215,HUSQVARNA,SMR,630,,SMR 630,Replica,2004,1,4-STROKE,54 KW(73 PS),ALL,MOTORBIKE,SUPERMOTO
1216,HUSQVARNA,TC,250,,TC 250,,2005,1,4-STROKE,23 KW(31 PS),ALL,MOTORBIKE,OFFROAD
1217,HUSQVARNA,WR,125,,WR 125,,2008,1,2-STROKE,,ALL,MOTORBIKE,ENDURO
1218,HUSQVARNA,TE,450,I.E.,TE 450 I.E.,,2008,1,4-STROKE,,EUROPE,MOTORBIKE,ENDURO
1219,HUSQVARNA,TC,250,,TC 250,,2009,1,4-STROKE,,ALL,MOTORBIKE,OFFROAD
1220,HUSQVARNA,NUDA,900,R,NUDA 900 R,,2012,2,4-STROKE,77 KW(105 PS),EUROPE,MOTORBIKE,NAKEDBIKE
1221,HUSQVARNA,FE,450,,FE 450,,2017,1,4-STROKE,,EUROPE,MOTORBIKE,ENDURO
1222,HUSQVARNA,FE,450,,FE 450,,2018,1,4-STROKE,,EUROPE,MOTORBIKE,ENDURO
1223,HUSQVARNA,TE,250,I,TE 250 I,,2018,1,2-STROKE,10 KW(13 PS),EUROPE,MOTORBIKE,ENDURO
1224,HUSQVARNA,TC,85,17/14,TC 85 17/14,,2019,1,2-STROKE,,ALL,MOTORBIKE,OFFROAD
1225,HUSQVARNA,VITPILEN,401,ABS,401 VITPILEN ABS,,2019,1,4-STROKE,32 KW(44 PS),EUROPE,MOTORBIKE,NAKEDBIKE
1226,HUSQVARNA,TE,150,I,TE 150 I,,2020,1,2-STROKE,,ALL,MOTORBIKE,ENDURO
1227,HUSQVARNA,TE,300,I,TE 300 I,Jarvis Edition,2020,1,2-STROKE,10 KW(13 PS),ALL,MOTORBIKE,ENDURO
1228,HYOSUNG,CRUISE,125,II,CRUISE 125 II,,1997,1,4-STROKE,"10,5 KW(14,3 PS)",EUROPE,MOTORBIKE,CHOPPER
1229,HYOSUNG,GAMMA,50,,GAMMA 50,,1998,1,2-STROKE,"3 KW(4,1 PS)",EUROPE,SCOOTER,SCOOTER
1230,HYOSUNG,SUPER CAB,100,,SUPER CAB 100,,2000,1,2-STROKE,"6,6 KW(9 PS)",EUROPE,SCOOTER,SCOOTER
1231,HYOSUNG,SF,50,,SF 50,,2002,1,2-STROKE,"3,2 KW(4,4 PS)",EUROPE,SCOOTER,SCOOTER
1232,HYOSUNG,XRX,125,,XRX 125,Offroad,2003,1,4-STROKE,"8,8 KW(12 PS)",EUROPE,MOTORBIKE,DUAL PURPOSE
1233,HYOSUNG,GT,650,S,GT 650 S,Sport,2005,2,4-STROKE,57 KW(78 PS),EUROPE,MOTORBIKE,SPORTBIKE
1234,HYOSUNG,GV,650,,GV 650,Aquila,2005,2,4-STROKE,52 KW(71 PS),ALL,MOTORBIKE,CRUISER
1235,HYOSUNG,SD,50,,SD 50,Sense,2007,1,2-STROKE,,AMERICA,SCOOTER,SCOOTER
1236,HYOSUNG,GT,125,R,GT 125 R,,2007,2,4-STROKE,11 KW(15 PS),EUROPE,MOTORBIKE,SPORTBIKE
1237,HYOSUNG,GV,250,,GV 250,Aquila,2007,2,4-STROKE,21 KW(29 PS),ALL,MOTORBIKE,CRUISER
1238,HYOSUNG,GV,250,,GV 250,Aquila,2009,2,4-STROKE,,AMERICA,MOTORBIKE,CRUISER
1239,HYOSUNG,XRX,125,LC,XRX 125 LC,Enduro,2013,1,4-STROKE,11 KW(15 PS),EUROPE,MOTORBIKE,DUAL PURPOSE
1240,HYTRACK,HY,310,2X4,HY 310 2X4,,2012,1,4-STROKE,15 KW(20 PS),EUROPE,ATV,ATV
1241,HYTRACK,HY,610,4X4,HY 610 4X4,,2012,1,4-STROKE,,EUROPE,ATV,ATV
1242,HYTRACK,HY,600,EFI 4X4,HY 600 EFI 4X4,Premium,2013,2,4-STROKE,,EUROPE,ATV,ATV
1243,HYTRACK,HY,210,S 2x4,HY 210 S 2x4,,2014,1,4-STROKE,"7 KW(9,5 PS)",EUROPE,ATV,ATV
1244,INDIAN,CHIEF,105,,CHIEF 105,Vintage,2010,2,4-STROKE,,ALL,MOTORBIKE,TOURER
1245,INDIAN,SCOUT,69,ABS,SCOUT 69 ABS,,2015,2,4-STROKE,75 KW(102 PS),ALL,MOTORBIKE,CRUISER
1246,INDIAN,SCOUT,60,ABS,SCOUT 60 ABS,Sixty,2018,2,4-STROKE,57 KW(78 PS); 35 KW(47 PS),ALL,MOTORBIKE,CRUISER
1247,INDIAN,CHIEF,111,ABS,CHIEF 111 ABS,Dark Horse,2019,2,4-STROKE,52 KW(71 PS); 64 KW(87 PS),ALL,MOTORBIKE,CRUISER
1248,ITALJET,VELOCIFERO,50,,VELOCIFERO 50,,1993,1,2-STROKE,"3,1 KW(4,2 PS)",EUROPE,SCOOTER,SCOOTER
1249,ITALJET,VELOCIFERO,50,,VELOCIFERO 50,,1996,1,2-STROKE,"3,1 KW(4,2 PS)",EUROPE,SCOOTER,SCOOTER
1250,ITALJET,FORMULA,50,,FORMULA 50,,1997,1,2-STROKE,"3,5 KW(4,8 PS)",EUROPE,SCOOTER,SCOOTER
1251,ITALJET,DRAGSTER,180,,DRAGSTER 180,,2001,1,2-STROKE,14 KW(19 PS),EUROPE,SCOOTER,SCOOTER
1252,JOHN DEERE,600,440,,600,,1974,2,2-STROKE,,ALL,SNOW,SPORT
1253,JOHN DEERE,JDX4,340,,JDX4,,1975,2,2-STROKE,,ALL,SNOW,SPORT
1254,JOHN DEERE,LIQUIFIRE,340,,LIQUIFIRE 340,,1978,2,2-STROKE,35 KW(47 PS),ALL,SNOW,SPORT
1255,JOHN DEERE,SPITFIRE,340,,SPITFIRE 340,,1979,2,2-STROKE,,ALL,SNOW,SPORT
1256,JOHN DEERE,TS,350,2X4,TS 350 2X4,Gator,2010,1,4-STROKE,"8,3 KW(11,3 PS)",ALL,ATV,UTV
1257,JOHN DEERE,TX,675,2X4,TX 675 2X4,Gator,2012,2,4-STROKE,"11,6 KW(15,8 PS); 12,5 KW(16,8 PS)",ALL,ATV,UTV
1258,JOHN DEERE,XUV,855,D 4X4,XUV 855 D 4X4,Gator Diesel,2013,3,DIESEL,17 KW(23 PS),ALL,ATV,UTV
1259,JOHN DEERE,HPX,850,D 4X4,HPX 850 D 4X4,Gator Diesel,2013,3,DIESEL,14 KW(19 PS),ALL,ATV,UTV
1260,JOHN DEERE,XUV,560,4X4,XUV 560 4X4,Gator S4,2016,2,4-STROKE,12 KW(16 PS),ALL,ATV,UTV
1261,KAWASAKI,W2,650,SS,W2 SS 650,,1968,2,4-STROKE,39 KW(53 PS),AMERICA,MOTORBIKE,NAKEDBIKE
1262,KAWASAKI,A7,350,,A7 350,Avenger,1968,2,2-STROKE,31 KW(42 PS),AMERICA,MOTORBIKE,NAKEDBIKE
1263,KAWASAKI,F81M,250,,F81M 250,Green Streak,1972,1,2-STROKE,22 KW(30 PS),AMERICA,MOTORBIKE,ENDURO
1264,KAWASAKI,F9,350,,F9 350,Bighorn,1975,1,2-STROKE,21 KW(29 PS),AMERICA,MOTORBIKE,ENDURO
1265,KAWASAKI,Z,400,D,Z 400,,1975,2,4-STROKE,,EUROPE,MOTORBIKE,NAKEDBIKE
1266,KAWASAKI,KD,125,,KD 125,,1976,1,2-STROKE,"9,6 KW(13 PS)",AMERICA,MOTORBIKE,OFFROAD
1267,KAWASAKI,KZ,1000,B,KZ 1000,LTD,1977,4,4-STROKE,44 KW(60 PS),AMERICA,MOTORBIKE,NAKEDBIKE
1268,KAWASAKI,KH,100,C,KH 100 C,,1977,1,2-STROKE,,AMERICA,MOTORBIKE,NAKEDBIKE
1269,KAWASAKI,KH,100,,KH 100,,1978,1,2-STROKE,,ALL,MOTORBIKE,NAKEDBIKE
1270,KAWASAKI,KZ,550,A,KZ 550,,1980,4,4-STROKE,39 KW(53 PS),AMERICA,MOTORBIKE,NAKEDBIKE
1271,KAWASAKI,KH,100,,KH 100,,1980,1,2-STROKE,,EUROPE,MOTORBIKE,NAKEDBIKE
1272,KAWASAKI,KH,125,A,KH 125,,1981,1,2-STROKE,"7,4 KW(10 PS)",ALL,MOTORBIKE,NAKEDBIKE
1273,KAWASAKI,Z,440,A,Z 440,LTD,1981,2,4-STROKE,20 KW(27 PS),EUROPE,MOTORBIKE,CHOPPER
1274,KAWASAKI,Z,750,H,Z 750,LTD 4 Cylinder,1981,4,4-STROKE,56 KW(76 PS),EUROPE,MOTORBIKE,CHOPPER
1275,KAWASAKI,KH,125,A,KH 125,,1982,1,2-STROKE,"7,4 KW(10 PS)",ALL,MOTORBIKE,NAKEDBIKE
1276,KAWASAKI,KE,175,D,KE 175,,1982,1,2-STROKE,,ALL,MOTORBIKE,ENDURO
1277,KAWASAKI,KZ,440,G,KZ 440,Belt Drive,1982,2,4-STROKE,29 KW(39 PS),AMERICA,MOTORBIKE,NAKEDBIKE
1278,KAWASAKI,Z,440,H,Z 440,,1982,2,4-STROKE,20 KW(27 PS); 30 KW(41 PS),EUROPE,MOTORBIKE,NAKEDBIKE
1279,KAWASAKI,KX,80,17/14,KX 80 17/14,,1983,1,2-STROKE,,ALL,MOTORBIKE,OFFROAD
1280,KAWASAKI,KZ,550,M,Z 550,LTD,1983,4,4-STROKE,,AMERICA,MOTORBIKE,CHOPPER
1281,KAWASAKI,GPZ,750,A,GPZ 750 R,Ninja,1983,4,4-STROKE,66 KW(90 PS),AMERICA,MOTORBIKE,SPORTTOURER
1282,KAWASAKI,KZ,1000,P,KZ 1000,Police,1984,4,4-STROKE,,AMERICA,MOTORBIKE,NAKEDBIKE
1283,KAWASAKI,GPZ,400,R,GPZ 400 R,,1985,4,4-STROKE,43 KW(58 PS),ALL,MOTORBIKE,SPORTBIKE
1284,KAWASAKI,GPZ,550,A,GPZ 550,Uni Trak,1985,4,4-STROKE,48 KW(65 PS),ALL,MOTORBIKE,SPORTTOURER
1285,KAWASAKI,AR,125,B,AR 125 B,,1986,1,2-STROKE,"8,8 KW(12 PS)",EUROPE,MOTORBIKE,SPORTTOURER
1286,KAWASAKI,KH,125,K,KH 125 K,,1986,1,2-STROKE,"8,8 KW(12 PS)",EUROPE,MOTORBIKE,NAKEDBIKE
1287,KAWASAKI,ZL,600,A,ZL 600,Eliminator,1987,4,4-STROKE,54 KW(73 PS),ALL,MOTORBIKE,CRUISER
1288,KAWASAKI,VN-15,1500,A,VN-15,,1988,2,4-STROKE,,EUROPE,MOTORBIKE,CHOPPER
1289,KAWASAKI,KH,125,K,KH 125 K,,1988,1,2-STROKE,"8,8 KW(12 PS)",EUROPE,MOTORBIKE,NAKEDBIKE
1290,KAWASAKI,EL,250,B,EL 250,Eliminator,1989,2,4-STROKE,20 KW(27 PS),ALL,MOTORBIKE,CRUISER
1291,KAWASAKI,KLR,600,B,KLR 600,,1989,1,4-STROKE,31 KW(42 PS),EUROPE,MOTORBIKE,DUAL PURPOSE
1292,KAWASAKI,AR,50,,AR 50,,1990,1,2-STROKE,"2,1 KW(2,8 PS)",EUROPE,MOTORBIKE,SPORTTOURER
1293,KAWASAKI,ZR,400,,ZR 400,Zephyr,1990,4,4-STROKE,34 KW(46 PS),JAPAN,MOTORBIKE,NAKEDBIKE
1294,KAWASAKI,KX,60,B,KX 60 B,,1991,1,2-STROKE,,ALL,MOTORBIKE,OFFROAD
1295,KAWASAKI,GPZ,900,R A,GPZ 900 R,Ninja,1991,4,4-STROKE,74 KW(100 PS),EUROPE,MOTORBIKE,SPORTBIKE
1296,KAWASAKI,ZG,1000,,ZG 1000,Concours,1992,4,4-STROKE,,AMERICA,MOTORBIKE,TOURER
1297,KAWASAKI,KLR,650,A,KLR 650,,1993,1,4-STROKE,32 KW(44 PS),AMERICA,MOTORBIKE,DUAL PURPOSE
1298,KAWASAKI,KAF,620,C,KAF 620 C,Mule 2500,1994,2,4-STROKE,,ALL,ATV,UTV
1299,KAWASAKI,ZX-7 R,750,M,ZX-7 R,Ninja,1994,4,4-STROKE,,AMERICA,MOTORBIKE,SPORTBIKE
1300,KAWASAKI,KAF,620,C,KAF 620 C,Mule 2500,1995,2,4-STROKE,,ALL,ATV,UTV
1301,KAWASAKI,VN,750,A,VN 750,Vulcan,1995,2,4-STROKE,44 KW(60 PS),ALL,MOTORBIKE,CHOPPER
1302,KAWASAKI,KX,250,,KX 250,,1996,1,2-STROKE,,ALL,MOTORBIKE,OFFROAD
1303,KAWASAKI,KLE,500,A,KLE 500,,1996,2,4-STROKE,25 KW(34 PS); 35 KW(48 PS),EUROPE,MOTORBIKE,DUAL PURPOSE
1304,KAWASAKI,ZX-6 R,600,F,ZX-6 R 600,Ninja,1996,4,4-STROKE,25 KW(34 PS); 72 KW(98 PS),ALL,MOTORBIKE,SPORTBIKE
1305,KAWASAKI,KAF,620,A 4X4,KAF 620 A 4X4,Mule 2510,1996,2,4-STROKE,,ALL,ATV,UTV
1306,KAWASAKI,JH,750,XI,JH 750 XI,Jet Ski Super Sport,1996,2,2-STROKE,,ALL,WATERCRAFT,TWO PASSENGER
1307,KAWASAKI,EL,252,F,EL 252,Eliminator,1997,2,4-STROKE,22 KW(30 PS),EUROPE,MOTORBIKE,CRUISER
1308,KAWASAKI,GPZ,1100,E,GPZ 1100,,1997,4,4-STROKE,74 KW(100 PS),ALL,MOTORBIKE,SPORTTOURER
1309,KAWASAKI,JH,750,XI,JH 750 XI,Jet Ski Super Sport,1997,2,2-STROKE,,ALL,WATERCRAFT,TWO PASSENGER
1310,KAWASAKI,VN,1500,H,VN 1500,Vulcan Classic Tourer,1998,2,4-STROKE,47 KW(64 PS),EUROPE,MOTORBIKE,CRUISER
1311,KAWASAKI,KLE,400,A,KLE 400,,1998,2,4-STROKE,31 KW(42 PS),JAPAN,MOTORBIKE,DUAL PURPOSE
1312,KAWASAKI,KLF,220,2X4,KLF 220 2X4,Bayou,1999,1,4-STROKE,13 KW(17 PS),AMERICA,ATV,ATV
1313,KAWASAKI,KAF,620,2X4,KAF 620 2X4,Mule 2520,1999,2,4-STROKE,,ALL,ATV,UTV
1314,KAWASAKI,VN,800,C,VN 800,Drifter,2000,2,4-STROKE,25 KW(34 PS); 42 KW(57 PS),ALL,MOTORBIKE,CRUISER
1315,KAWASAKI,GTR,1000,A,GTR 1000,,2000,4,4-STROKE,72 KW(98 PS),EUROPE,MOTORBIKE,TOURER
1316,KAWASAKI,KLF,300,2X4,KLF 300 2X4,Bayou,2001,1,4-STROKE,,AMERICA,ATV,ATV
