vehicle_id,Bike Producer,Series,Size,Configuration,Bike Model,Sales Name,Year,Cylinder,Type of Drive,Engine Output,Country,Category 1,Category 2
290,CF MOTO,UFORCE,800,4X4,UFORCE 800 4X4,EPS,2015,2,4-STROKE,15 KW(20 PS); 48 KW(65 PS),EUROPE,ATV,UTV
291,CF MOTO,CFORCE,550,EFI 4X4,CFORCE 550 EFI 4X4,,2016,1,4-STROKE,15 KW(20 PS); 24 KW(33 PS),EUROPE,ATV,ATV
292,CF MOTO,CFORCE,800,EFI 4X4,CFORCE 800 EFI 4X4,XL DLX,2016,2,4-STROKE,15 KW(20 PS); 48 KW(65 PS),EUROPE,ATV,ATV
293,CF MOTO,ZFORCE,500,HO 4X4,ZFORCE 500 HO 4X4,Trail EPS,2016,1,4-STROKE,,AMERICA,ATV,SIDE BY SIDE
294,CF MOTO,CFORCE,400,EFI 4X4,CFORCE 400 EFI 4X4,,2017,1,4-STROKE,,AMERICA,ATV,ATV
295,CF MOTO,UFORCE,550,EFI 4X4,UFORCE 550 EFI 4X4,DLX,2018,1,4-STROKE,26 KW(35 PS); 29 KW(39 PS),EUROPE,ATV,UTV
296,CH RACING,CH,50,508,CH 50 508,Senior,2009,1,2-STROKE,"5,8 KW(8 PS)",EUROPE,MOTORBIKE,OFFROAD
297,CH RACING,CH,50,509,CH 50 509,Pro Senior,2009,1,2-STROKE,"8,8 KW(12 PS)",EUROPE,MOTORBIKE,OFFROAD
298,CH RACING,CH,50,510,CH 50 510,Basic Big Wheel,2009,1,2-STROKE,"2,6 KW(3,5 PS)",EUROPE,MOTORBIKE,OFFROAD
299,COBRA MOTO,CX,50,SR,CX 50 SR,King,1998,1,2-STROKE,,ALL,MOTORBIKE,OFFROAD
300,COBRA MOTO,CX,50,SR,CX 50 SR,King,2003,1,2-STROKE,,ALL,MOTORBIKE,OFFROAD
301,CPI,HUSSAR,50,,HUSSAR 50,,2004,1,2-STROKE,"2,3 KW(3,1 PS)",EUROPE,SCOOTER,SCOOTER
